,Title,Tags,Related,Page1
122,GDIT Welcomes a Powerful Black History Month Speaker,OUR CULTURE,"2 MIN READ CYBER,  OUR CULTURE AI Powers Up Cyber Resilience: A Look Back at Our Successful Cyber Hackathon 3 MIN READ OUR CULTURE How One GDIT Engineer Is Helping Students Find Their Career Paths 2 MIN READ OUR CULTURE 23 GDIT Engineers to Receive Honors at the 2022 BEYA STEM Conference 3 MIN READ OUR CULTURE Inspiring the Next Generation of STEM Leaders","LATEST LATEST GDIT Welcomes a Powerful Black History Month Speaker By  The Black Employee Network (BEN) The Black Employee Network (BEN) February 25th, 2021 This month, during Black History Month, the  GDIT Black Employee Network (BEN)  hosted an incredibly inspiring guest speaker, Gloria Atiba-Davies. An attorney in her native Sierra Leone, Ms. Atiba-Davies prosecuted a failed coup leader, only to become his number-one target when he later escaped from prison and came to power with the help of a rebel guerilla army. Forced to flee the country, separated from her children, and seeking asylum, she overcame unthinkable adversity by finding and building incredible resilience. Today, she is a powerful advocate for victims and has dedicated her career to giving them a voice – first as Principal State Counsel in Sierra Leone; then in Gambia as Deputy Director of the Office of the Public Prosecutor; and later as the Victims Expert for the International Criminal Court (ICC) in The Hague leading its Gender and Children Unit. In this very special event, Ms. Atiba-Davies was interviewed by her daughter-in-law, GDIT Senior Marketing Manager, Britney Ambers. Their meaningful and moving discussion touched on the power of resiliency, finding strength you didn’t know you had, and the ways in which overcoming adversity can helps us empathize and advocate for others who are struggling. Asked about how she made it through difficult times Asked about how she made it through difficult times , Ms. Atiba-Davies pointed to her “solid foundation” and the belief that life happens in seasons, with each one presenting opportunities and challenges. She told the group that your attitude and the support you have is what gets you through. It links with your character and how you approach things. “What kept me grounded was the belief that I was doing the right thing,” she said. She told the group that it was critical to keep focused; to be sure of what you want and the outcome you want to achieve, and then working – hard – for it. “Life is never a bed of roses,” she said. “Keep your eyes on the end-goal to make sure you’re not distracted or discouraged.” Asked about why it was so important to give victims a voice Asked about why it was so important to give victims a voice , as Ms. Atiba-Davies expressed her belief that, in every court case in every jurisdiction, victims should be front and center, not passive participants. “They’re the ones who’ve suffered,” she said, explaining that victims should have the ability to say where, when, and to whom they want to testify. “They went through trauma and they have to relive it when they testify.” Asked why it’s so important that no one is above the law Asked why it’s so important that no one is above the law , Ms. Atiba-Davies quoted New York Attorney General Letitia James"
123,30+ GDIT Team Members Recognized at the Black Engineer of the Year Awards (BEYA) STEM Conference,OUR CULTURE,"2 MIN READ CYBER,  OUR CULTURE AI Powers Up Cyber Resilience: A Look Back at Our AI Powers Up Cyber Resilience: A Look Back at Our Successful Cyber Hackathon 3 MIN READ OUR CULTURE How One GDIT Engineer Is Helping Students Find Their Career Paths 2 MIN READ OUR CULTURE 23 GDIT Engineers to Receive Honors at the 2022 BEYA STEM Conference 3 MIN READ OUR CULTURE Inspiring the Next Generation of STEM Leaders","LATEST LATEST 30+ GDIT Team Members Recognized at the Black Engineer of the Year Awards (BEYA) STEM Conference By  GDIT GDIT February 18th, 2021 This month, Career Communications Group, Inc. (CCG), a diversity organization that partners with employers to promote multiculturalism and gender equity in science, technology, engineering, and mathematics (STEM), hosted its Black Engineer of the Year Awards (BEYA) STEM Conference. The awards recognize African American pioneers in STEM and honor those who continue to make significant contributions in the field. At the event, which was held virtually using digital twin technology due to the ongoing COVID-19 pandemic, more than 30 GDIT employees were recognized for their “exceptional careers in government and industry, and actions that have energized both corporations and communities alike.” Nyaradzo Longinaker Nyaradzo Longinaker , a Statistician Advisor in our Federal Civilian division, was honored as the Most Promising Scientist in Industry, an incredible honor for an incredible colleague! The award recognizes a scientist with three to ten years in the workforce who demonstrates tremendous potential for future scientific contributions in his or her field.  Nyaradzo’s research on COVID-19 has been key to assisting the Centers for Medicare and Medicaid Services (CMS) in understanding the effects of COVID19 in nursing facilities. In 2020, she authored a full research manuscript on opioid prescribing to Medicare beneficiaries. And she still finds time to tutor and volunteer with Meals on Wheels. Amazing, Nyaradzo! Olie Burton Olie Burton , an Information Systems Senior Director, was presented with the Dr. John Slaughter Legacy Award, which recognizes an individual who has made significant contributions to higher education and leadership. The award is named for the first-ever Black Engineer of the Year award winner, Dr. John Slaughter, who won the award in 1987 having excelled in electronics engineering and computer control systems in naval weapons at General Dynamics. He was also the first African American to lead the National Science Foundation. Good company to keep, Olie! Congrats! Additionally, over 30 other GDIT colleagues were recognized as  Modern Day Technology Leaders . They are:"
124,Ensuring Cloud Rollouts Meet Your Agency’s Mission,CLOUD,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","LATEST LATEST Ensuring Cloud Rollouts Meet Your Agency’s Mission By  GDIT GDIT February 1st, 2021 GDIT’s Global Chief Information Officer and Vice President for Supply Chain  Kristie Grinnell  recently sat down with  FedScoop  to talk about the myriad considerations that should inform an organization’s cloud strategy. In the discussion, Grinnell touched on how GDIT has helped customers transition their IT operations into hybrid cloud environments, and what that means in terms of performance and outcomes. She also talked about how there is often no, single cloud that works for every organization and every need within it, highlighting how the mission, the data, the end-users and the requirements all influence what cloud is most appropriate. This reality has led to the proliferation of multi-cloud or hybrid cloud environments, and thus, the need for organizations to consider – and then answer – a number of critical questions in order to drive success. Read the  entire Q&A , and  learn more about GDIT’s Cloud Solutions . TAGS TAGS CLOUD SHARE SHARE Related"
125,GDIT Cyber Leaders Share Expertise at the Billington Cybersecurity Conference,"ARTIFICIAL INTELLIGENCE ,  CYBER","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND … SECURITY,  INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","LATEST LATEST GDIT Cyber Leaders Share Expertise at the Billington Cybersecurity Conference By  GDIT GDIT October 1st, 2020 During the first week of September, cybersecurity experts from around the world came together for the 11th annual Billington Cybersecurity Conference. This year, of course, the event was virtual – but that didn’t change organizers’ commitment to providing “an unparalleled two days of high-level networking and knowledge-sharing to advocate cyber mission in the U.S. and among allied countries.” GDIT’s cyber leaders lent their expertise to three of the event’s most anticipated sessions. They were: A panel discussion on  Autonomous Cyber Defense Autonomous Cyber Defense , in which GDIT’s Cyber Director and Cyber Center of Excellence, Dr. Matt McFadden participated. During the session, Dr. McFadden observed that even though cyber defenders and attackers have very different core objectives, the outcomes they’re after are largely the same: they want to move quickly to either detect or create a vulnerability. From the perspective of automation, the focus should be on how to apply technologies like AI/ML to enhance the work being done by cyber teams to affect attackers’ ability to quickly move through the “kill chain.” Watch the full session here:"
126,Unlocking the Power of the Cloud,"CLOUD ,  DIGITAL MODERNIZATION","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","LATEST LATEST Unlocking the Power of the Cloud By  Kristie Grinnell Kristie Grinnell Vice President, Information Technology and Supply Chain and Chief Information Officer February 8th, 2021 Challenges over the past year have forced federal agencies to reconsider their strategic IT road maps. But there’s a larger reason for adjusting course. Agencies are also reaching an inflection point, at which it’s become critical for federal officials focus more fully on their hybrid cloud journey. Those who’ve already made the leap to the cloud have learned, perhaps the hard way, that each of the major cloud service providers has its own unique strengths and operating requirements. But to fully leverage the power and capabilities of the cloud, it’s crucial that agencies and their components take a step back to make sure they truly understand their data strategies first — and then determine which cloud is best suited to their needs, and why. It’s equally importantly that agencies understand what they’re going to be doing in the cloud once they get there — and, longer term, how they plan to integrate the outcomes back into their operations. If you don’t make those decisions properly up front, chances are, your data may very well end up in the wrong cloud. As the global CIO at GDIT — a company that has a long history of working with government agencies — I’ve experienced those lessons first hand as we went through our own cloud journey. And I’ve come to appreciate they’re particularly important for federal agencies. Today, GDIT uses a combination of cloud service providers as well as our own, significantly consolidated, on-prem data centers to meet our infrastructure and platform needs. There are several reasons we opted to work with multiple cloud providers. One basic reason was to prevent vendor lock-in. But more importantly, it also was to make sure we were able to manage our data in the most appropriate environments. And of course, having the right level of security has always been a monumental concern with our agency customers. So is how our thousands of employees and engineers interact with agencies and that data every day. That journey began by developing a playbook to systematically review our data requirements and determine which cloud services were best-suited to our, and our customers’ needs, including a heavy emphasis on security assurances. We then tested direct connections to respective cloud providers and developed containers to see what worked best. Finally, we moved full speed ahead to take advantage of all that cloud has to offer, including AI and ML, automation, scalability and greater analytic capabilities."
127,Continuing the Military Mission at GDIT,"LIFE SCIENCES AND MEDICAL RESEARCH ,  OUR CULTURE","4 MIN READ MPE,  DEFENSE,  ICAM,  ZERO TRUST ICAM/Zero Trust: At the Core of Interoperability in Mission Partner Environments 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 14MIN WATCH INTELLIGENCE,  HOMELAND SECURITY,  DIGITAL 14MIN WATCH INTELLIGENCE,  HOMELAND SECURITY,  DIGITAL MODERNIZATION Biometric Identification:  Not Movie Magic, But a Mosaic of Multi-Factor Authentication Tools 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology","LATEST LATEST Continuing the Military Mission at GDIT By  GDIT GDIT March 17th, 2021 Julie McGrath, Vice President of GDIT's Julie McGrath, Vice President of GDIT's  Military Health Life Sciences program, has always been a trailblazer. She recalls how, growing up in the small town of Huntingdon, Pennsylvania, there were essentially two paths for women: going to college or becoming a farmer’s wife. Julie’s mom didn’t have the money to send her to college and Julie had no desire to become a farmer’s wife, so she joined the military, specifically, the Women’s Army Corps. This was at the end of the Vietnam War era when there were only about 500 women in the Army in total. Among the other 60-women in her unit, Julie found her stride and charted her own path. She served for 22 years at posts in Texas, Germany and Washington, D.C., eventually rising to the rank of E8 Master Sergeant (MSG) and making significant contributions at every turn. “I worked at the Army Burn Unit on a research team which led to a patent for the Silvadene Burn Cream which is still in use today,” she said. “I also ran a blood bank in Germany for a neonatal unit that was responsible supplying fresh blood for these tiny one or two-pound babies being born there.” Julie was also running the blood bank in Germany during the Ramstein air show disaster in 1988, which at the time was the deadliest air show accident in history. It was a mass casualty event with 70 fatalities and hundreds of serious injuries, surely a day Julie will never forget. GDIT is fortunate to have had Julie among our ranks for more than 20 years. Following her service, Julie says joining GDIT was a natural choice. She loves her country and wants to continue supporting the military mission, which she does every day on the Military Health Life Sciences program. This initiative is focused on helping to research, educate, diagnose, and treat the healthcare issues affecting our service members, veterans, and their families. “When I was on active duty, we focused on esprit de corps (a feeling of pride, fellowship and common loyalty shared by the members of a particular group) and in my GDIT organization, we really promote camaraderie and the notion of success for all – no lone rangers. We’re like a family or even a unit,” she shared. Like many who join the military young, Julie had some doubts about joining the civilian workforce upon retirement. “When I went to retire, I doubted my skills, but the military absolutely did prepare me for this job,” she said. “The mission does change but the military taught me time management, people skills and it instilled in me the love of country and the urge to protect our country.”"
128,Federal Cyber Workforce: A Search for Solutions,CYBER,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","LATEST LATEST Federal Cyber Workforce: A Search for Solutions By  GDIT GDIT October 8th, 2020 “It really has to be a partnership across industry, government, and the school system because schools often can’t do it on their own.” Nor should they. That’s Pamela McComas, GDIT Program Manager and Solutions Architect talking about the need for a cybersecurity workforce with the skills necessary to address the evolving cyber needs of government, industry, and society. It’s a tall order, but one McComas is passionate about. A recent Meritalk article invited hers and others’ perspectives on how to improve the country’s cyber security posture. Citing partnership as well as the need for us to “start younger, show that there is a place for women in cyber, and change the perception,” she also stressed how important it is to look at non-traditional skillsets and their application to cybersecurity. Read the full article . TAGS TAGS CYBER SHARE SHARE Related"
129,Emerge: Vision Panel,DIGITAL MODERNIZATION,"14MIN WATCH INTELLIGENCE,  HOMELAND SECURITY,  DIGITAL MODERNIZATION Biometric Identification:  Not Movie Magic, But a Mosaic of Multi-Factor Authentication Tools 4 MIN READ DIGITAL MODERNIZATION,  MANAGED SERVICES Achieving Mission Success: Best Practices to Foster Effective Collaboration Among Contractors 2 MIN READ DIGITAL MODERNIZATION,  HOMELAND SECURITY,  INTELLIGENCE Mission Possible: A Modern Approach to Supporting Global Missions 54 MIN WATCH CYBER,  DEFENSE,  DIGITAL MODERNIZATION,  ZERO TRUST Dispatch from TechNet IndoPac: MPEs & ICAM to Enhance Warfighter Capability","LATEST LATEST Emerge: Vision Panel By  GDIT GDIT May 6th, 2021 The first in GDIT’s three-part  Emerge  Series was kicked off in the beginning of April.  This annual signature technology event has as its theme this year, “Bringing Vision to Life” and in part-one of the event, speakers focused on how to bring visions to life within the digital modernization  arena. A highlight on the action-packed and information-rich agenda was the  20/21 Technology Vision Panel , moderated by  Kristie Kristie Grinnell Grinnell , GDIT’s Vice President, Information Technology and Supply Chain and Global CIO. Joining Kristie on the panel were  Melvin Greer Melvin Greer , Chief Data Scientist, Americas at Intel;  Krista Kinnard Krista Kinnard , Chief of Emerging Technologies at the Department of Labor;  Brigadier General Chad Raduege Brigadier General Chad Raduege , Director of Cyberspace and Information Dominance, and CIO, Headquarters Air Combat Command, U.S. Air Force; and  Mike Younkers Mike Younkers , Senior Director, Systems Engineering, U.S. Federal at Cisco. Together, the group talked about all that 2020 taught us (hello, overnight transition to teleworking) and looked ahead at how collaboration, paired with the latest technology, can propel IT modernization going forward. Asked about what the future might look like, the panelists nearly all pointed to data and managing data workflows and being able to leverage data to advance missions and spur innovation. Brigadier General Raduege said, in his view, the future is going to be about mobility and accessing data and securing it. He noted that users of all kinds have an appetite to access more and more data, faster and faster. As we go mobile, he said, our attack surface is getting bigger and broader. As a result, he and his team spend a lot of time looking at security and what the future state needs to be, examining things like ZeroTrust architectures, as an example. “Data is the fuel which powers innovation, which is the mechanism we will use to drive all the advances that we’re looking forward to,” said Greer. “It’s the new weapons system that allows our warfighters to be more adept and agile and bring new capabilities to theaters that benefit them.” He went on to note that we absolutely need diverse voices in the collection and use of data. Doing that will allow the data to fuel innovation even more effectively, he said, because we’ll be bringing a diversity of thought into how we look at and analyze data. Kinnard, with the Department of Labor, agreed. She noted that agencies can sometimes be data rich, but information poor. In an ideal state you’d have different agencies with different priorities able to access data and make decisions, she said. “Our number one priority is supporting workers,” she said. “We need to assure them that we have the data infrastructure to"
130,Accelerating Government IT Modernization in the time of COVID-19,"CLOUD ,  DIGITAL MODERNIZATION ,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","LATEST LATEST Accelerating Government IT Modernization in the time of COVID-19 By  GDIT GDIT June 15th, 2020 As an AWS Premier Partner, GDIT was invited to join a  Government Matters “Industry Insider” session  on the many ways the COVID-19 pandemic is accelerating government efforts to modernize, move to the  cloud  and enhance their remote working capabilities in line with the changing work environment. In the clip below, our own  Kristie Grinnell , CIO and VP of IT & Supply Chain, discusses how we’re helping customers navigate this crisis and highlights some important work we are doing for the Defense Health Agency (DHA). GDIT is helping DHA’s Unified Business Office (UBO) track patients that were tested and/or treated for COVID-19 by implementing a custom tracing tool to report on COVID-19 related encounters, services, and payment data. We were proud to have this opportunity to support the DHA mission and GDIT remains a committed, mission partner for our customers – even amid the most challenging times. TAGS TAGS CLOUD ,  DIGITAL MODERNIZATION ,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT SHARE SHARE"
131,"Emerge 2021: Bringing Vision to Life, Part One: Digital Modernization","ARTIFICIAL INTELLIGENCE ,  DIGITAL MODERNIZATION","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND … SECURITY,  INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","LATEST LATEST Emerge 2021: Bringing Vision to Life, Part One: Digital Modernization By  GDIT GDIT April 23rd, 2021 GDIT reignited its signature technology event series,  Emerge , an annual event held virtually this year to, as our President  Amy Amy Gilliland Gilliland   noted , “rethink what we can accomplish when government and tech come together.” With a theme of “bringing vision to life,” the three-part series began with Digital Modernization, focusing on accelerating the digital modernization of technologies we depend on every day, and is now  available to watch on-demand . Bringing Together Industry, Government and Technology In the opening address, Gilliland talks about the exciting things happening in the digital modernization space – from artificial intelligence, to cloud migration, to 5G and more. She highlights the importance of retaining and attracting the talent necessary to bring these evolutions to customers, as GDIT is doing via innovative partnerships and investments in talent and in markets beyond the Beltway. Following Gilliland’s remarks is a keynote from  Maria Roat Maria Roat , the Deputy Federal Chief Information Officer at the Office of Management and Budget (OMB). She discusses the constantly evolving missions and demands confronting IT professionals and the ways agencies – with technology as an enabler – can perform for today and prepare for the future. As she put it, the need exists to build a comprehensive digital modernization vision across the whole of the federal government. A government panel discussion on accelerating modernization within managed services discusses tools, expertise and facilities necessary to meet evolving technology needs while also driving value and delivering on the mission. That discussion, led by  Brian Brian Fogg Fogg , GDIT’s Vice President and Federal Civilian Growth Officer, convened  Dominic Cussatt Dominic Cussatt , Acting Assistant Secretary for Information and Technology and CIO at the Department of Veterans Affairs, and  Mia Jordan Mia Jordan , Chief Information Officer, Enterprise Technology Directorate, Federal Student Aid at the Department of Education. Breakout sessions across three tracks - Modernizing the Enterprise, Automate Everywhere and Delivering Managed Services - feature three, consecutive deeper-dive sessions on critical subtopics within each area, such as  Optimizing 5G ,  Software Defined Networks ,  AI/ML ,  Bots & Robotic Process Automation , and  Driving Innovation . The event concludes with a Vision 20/21 Panel discussion, where leaders from GDIT, government and industry look ahead and"
132,Celebrating Women in Homeland Security,"OUR CULTURE ,  HOMELAND SECURITY","2 MIN READ CYBER,  OUR CULTURE AI Powers Up Cyber Resilience: A Look Back at Our Successful Cyber Hackathon 3 MIN READ OUR CULTURE How One GDIT Engineer Is Helping Students Find Their Career Paths 2 MIN READ OUR CULTURE 23 GDIT Engineers to Receive Honors at the 2022 BEYA STEM Conference 3 MIN READ OUR CULTURE Inspiring the Next Generation of STEM Leaders","LATEST LATEST Celebrating Women in Homeland Security By  GDIT GDIT March 9th, 2021 Heading into Women’s History Month, GDIT was exceptionally pleased to have participated in the Homeland Security & Defense Forum’s virtual symposium, titled  Celebrating Women in Homeland Security . The symposium, held last week, consisted of a series of keynotes and panel discussions that examined the U.S. Department of Homeland Security’s efforts to foster women leaders. Speakers discussed the impact of female leadership on the agency, the obstacles women have had to overcome in security- related fields, and best practices for creating a diverse and inclusive workforce. The sessions also touched on how technology has and will continue to support the DHS mission, about the opportunities and obstacles confronting the new administration – especially as the COVID-19 pandemic persists – and how the DHS mission will continue to evolve. GDIT Vice President, Cybersecurity, Preparedness, and Enforcement  Katharine Murphy Katharine Murphy  was invited to participate in the event as a panelist on its Law Enforcement & Technology panel. Joining her were: Carla Provost, Former Chief of U.S. Border Patrol (Moderator) Gloria Chavez, Chief Patrol Agent, El Paso Sector, U.S. Border Patrol Rachelle Henderson, CIO, ICE Brenda Smith, Executive Assistant Commissioner, Office of Trade, CBP As the only industry voice on the panel, Katharine was able to discuss the ways that GDIT partners with DHS to achieve mission success. Specifically, she talked about how during the coronavirus pandemic, the company was able to move swiftly and ably to provide continuous support to DHS, largely as a result of prior investments in digital modernization and infrastructure that helped us transition 60% of our workforce to virtual work environments in just 48 hours. “This enabled us to continue to take care of our customers, recognizing that each one has different issues and environments,” she said. “This pandemic really highlighted the need for cloud technologies, information security and data privacy – because that’s what allowed us to support customers as they accelerated the pace of development, procurement and deployment of the technologies that support their mission. For us, that’s what it’s all about – it’s all about the partnership and being there for them.” The group also talked about the importance of inclusion and the ways in which it will contribute to even more female leadership within DHS. To that end, Katharine was able to talk about the ways GDIT does exactly that. “For us, it starts at the top,” she said “Our president, Amy Gilliland, is very visible and engaged on diversity and inclusion efforts across the company… We have invested in trainings and in supporting our Employee Resource Groups, which are voluntary,"
133,5 Best Practices to Follow when Securing Government Cloud Workloads,"CLOUD ,  CYBER","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","LATEST LATEST 5 Best Practices to Follow when Securing Government Cloud Workloads By  GDIT GDIT November 18th, 2019 GDIT Tech Talks’ four-part cybersecurity series consists of dialogs between cyber experts on some of today’s most pressing IT security issues.  Cybersecurity in the government cloud  was just one recent conversation between Melina Scotto, GDIT’s Federal Health Chief Information Security Officer, and Ravi Raghava, Chief Cloud Strategist for GDIT's Federal Civilian Division. Security is a paramount concern for every government organization seeking to migrate their data or infrastructure into the cloud. Whether you’re looking to move to the cloud or you’re already there, the five best practices they shared for securing the cloud are a must. 1. Assess security controls FedRAMP is an authorization process through which the U.S. federal government provides a seal of approval to cloud service providers who comply with a stringent set of cloud security best practices. The program was first rolled out in a December 2011 memorandum from the Office of Management and Budget (OMB). All federal executive offices, departments, and agencies must use a FedRAMP-compliant vendor when storing federal data in the cloud. System owner and hybrid controls should be well-documented and tested. In order to work with a cloud service provider, federal agencies must implement the cloud service provider’s (CSP) security plan and receive authorization to operate in the CSP’s environment. Achieving this  ATO (Authority to Operate)  may take between several months to a year, depending on the complexity of the environment and the FIPS-199 level of the data. 2. Encryption at rest Cloud data must be encrypted both in transit (moving between the customer and the cloud) and at rest (in persistent storage) and in use (compute). Encryption at rest safeguards your sensitive data stored on the cloud, protecting you in the event of a data breach. System owners and engineers must configure the encryption to meet federal requirements for FIPS-199 Moderate and High data. Storage as a service offerings from public cloud providers such as Azure, AWS, and Google all include the capability to encrypt your data at rest. Enabling encryption at rest is as simple as checking a box to turn it on. Depending on the provider, the cost of"
134,Economic Considerations to Become Cloud Smart,CLOUD,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","LATEST LATEST Economic Considerations to Become Cloud Smart By  Rick Valencia Rick Valencia Digital Consultant, Growth December 5th, 2019 Adopting the  Cloud Smart Strategy  can be overwhelming. You want to modernize your agency by moving to the  cloud  and deliver mission solutions faster while driving savings and improving security. With so many approaches and providers available, where do you start? A key consideration before you even begin your strategy and planning is your cloud economics:how and why you are going to spend your allotted funding? And what are the potential barriers that can slow down the migration project? Once you're clear on these two elements, you'll be better prepared to address the challenge of following fairly rigid government processes to obtain what are often very fluid cloud computing assets. 'Economics' means more than 'money' As a federal agency leader, your economic decisions encompass both financial considerations as well as the value received in exchange for your investment. You recognize that low-cost doesn't always mean economical if its value fails to achieve your agency’s primary mission. High cost doesn't always mean expensive if it provides better value and a higher return for your investment. All of these considerations are significant as you contemplate how your agency will adopt the Cloud Smart strategy. You need to establish a project budget that covers all the necessary aspects of cloud, but if you've never procured cloud services before, you may not know what all of those aspects are, nor how to estimate their cost. And you'll need to justify your project budget by providing a high-quality return, so capturing and accounting for all costs is imperative to the project's success. You don't want to just spend your money; you want to maximize your economic investment. Barriers that threaten cloud adoption economics Two federal agency realities pose unique problems to maximizing your investment: government procurement processes and culture. Each must be considered and accounted for as part of the overall project to meet both the budget and the project's timelines."
